Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,41731.277344,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,43151.320313,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,43666.078125,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,44145.347656,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,44145.347656,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,45849.382813,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,45938.132813,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,45742.882813,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,45387.871094,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,45032.863281,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,45441.125000,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,45316.875000,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,45955.886719,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,44127.593750,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,44624.597656,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,44358.351563,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,43222.324219,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,43842.765625,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,44003.703125,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,43395.761719,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,43020.265625,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,41947.449219,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,43574.558594,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,43270.605469,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,43985.812500,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,43699.722656,10984350
2018-04-11,49900.000000,49900.000000,48600.000000,48860.000000,43681.847656,10051100
2018-04-12,49440.000000,49440.000000,48880.000000,49000.000000,43807.007813,12466250
2018-04-13,49600.000000,50180.000000,49400.000000,49800.000000,44522.226563,10278300
2018-04-16,50320.000000,50600.000000,49860.000000,50340.000000,45004.992188,7877450
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,44683.148438,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,45916.898438,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,47186.402344,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,46149.347656,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,46399.667969,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,45112.281250,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,45058.632813,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,46614.238281,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,47383.085938,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,47383.085938,0
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,47383.085938,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,47383.085938,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,46399.667969,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,47025.484375,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,45505.640625,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,46131.457031,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,45863.253906,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,44790.429688,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,43985.812500,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,44566.929688,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,44164.621094,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,44254.015625,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,44701.031250,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,46310.273438,17095490
2018-05-24,52000.000000,52000.000000,51100.000000,51400.000000,45952.660156,8289275
2018-05-25,51000.000000,52800.000000,50800.000000,52700.000000,47114.886719,15207266
2018-05-28,52500.000000,53000.000000,52000.000000,52300.000000,46757.281250,9787820
2018-05-29,52200.000000,52500.000000,51300.000000,51300.000000,45863.253906,8480437
2018-05-30,51300.000000,51500.000000,49100.000000,49500.000000,44254.015625,20498098
2018-05-31,50400.000000,50800.000000,49850.000000,50700.000000,45326.847656,63491109
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,45863.253906,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,45684.449219,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,45863.253906,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,45237.441406,13590016
